X,CH1,CH2,Start,Increment
Sequence,Volt,Volt,7.42E-05,2.00E-09
173,1.56E+01,2.00E-01,,
174,1.56E+01,2.00E-01,,
175,1.58E+01,2.00E-01,,
176,1.54E+01,2.00E-01,,
177,1.56E+01,2.00E-01,,
178,1.56E+01,2.00E-01,,
179,1.56E+01,2.00E-01,,
180,1.56E+01,-2.00E-01,,
181,1.56E+01,2.00E-01,,
182,1.56E+01,2.00E-01,,
183,1.56E+01,2.00E-01,,
184,1.54E+01,2.00E-01,,
185,1.56E+01,2.00E-01,,
186,1.56E+01,2.00E-01,,
187,1.58E+01,2.00E-01,,
188,1.56E+01,-2.00E-01,,
189,1.56E+01,2.00E-01,,
190,1.56E+01,2.00E-01,,
191,1.58E+01,2.00E-01,,
192,1.54E+01,2.00E-01,,
193,1.58E+01,2.00E-01,,
194,1.56E+01,2.00E-01,,
195,1.56E+01,2.00E-01,,
196,1.56E+01,-2.00E-01,,
197,1.56E+01,4.00E-01,,
198,1.56E+01,2.00E-01,,
199,1.58E+01,-2.00E-01,,
200,1.54E+01,2.00E-01,,
201,1.58E+01,-2.00E-01,,
202,1.56E+01,2.00E-01,,
203,1.56E+01,2.00E-01,,
204,1.54E+01,-2.00E-01,,
205,1.56E+01,2.00E-01,,
206,1.56E+01,2.00E-01,,
207,1.58E+01,2.00E-01,,
208,1.54E+01,-2.00E-01,,
209,1.58E+01,2.00E-01,,
210,1.56E+01,2.00E-01,,
211,1.58E+01,2.00E-01,,
212,1.56E+01,-2.00E-01,,
213,1.56E+01,2.00E-01,,
214,1.56E+01,2.00E-01,,
215,1.58E+01,-2.00E-01,,
216,1.54E+01,2.00E-01,,
217,1.58E+01,2.00E-01,,
218,1.56E+01,2.00E-01,,
219,1.58E+01,2.00E-01,,
220,1.54E+01,-2.00E-01,,
221,1.56E+01,2.00E-01,,
222,1.56E+01,2.00E-01,,
223,1.58E+01,2.00E-01,,
224,1.54E+01,2.00E-01,,
225,1.56E+01,2.00E-01,,
226,1.56E+01,2.00E-01,,
227,1.56E+01,2.00E-01,,
228,1.54E+01,2.00E-01,,
229,1.56E+01,2.00E-01,,
230,1.56E+01,2.00E-01,,
231,1.58E+01,2.00E-01,,
232,1.54E+01,2.00E-01,,
233,1.58E+01,2.00E-01,,
234,1.56E+01,2.00E-01,,
235,1.58E+01,2.00E-01,,
236,1.54E+01,-2.00E-01,,
237,1.58E+01,2.00E-01,,
238,1.56E+01,2.00E-01,,
239,1.58E+01,2.00E-01,,
240,1.56E+01,-2.00E-01,,
241,1.56E+01,2.00E-01,,
242,1.56E+01,2.00E-01,,
243,1.56E+01,2.00E-01,,
244,1.54E+01,2.00E-01,,
245,1.58E+01,2.00E-01,,
246,1.56E+01,2.00E-01,,
247,1.58E+01,2.00E-01,,
248,1.54E+01,2.00E-01,,
249,1.58E+01,2.00E-01,,
250,1.56E+01,2.00E-01,,
251,1.58E+01,2.00E-01,,
252,1.54E+01,-2.00E-01,,
253,1.56E+01,2.00E-01,,
254,1.56E+01,2.00E-01,,
255,1.58E+01,2.00E-01,,
256,1.54E+01,2.00E-01,,
257,1.56E+01,2.00E-01,,
258,1.56E+01,2.00E-01,,
259,1.58E+01,2.00E-01,,
260,1.56E+01,-2.00E-01,,
261,1.58E+01,2.00E-01,,
262,1.56E+01,2.00E-01,,
263,1.56E+01,2.00E-01,,
264,1.54E+01,2.00E-01,,
265,1.58E+01,2.00E-01,,
266,1.56E+01,2.00E-01,,
267,1.58E+01,2.00E-01,,
268,1.56E+01,2.00E-01,,
269,1.56E+01,2.00E-01,,
270,1.56E+01,2.00E-01,,
271,1.56E+01,-2.00E-01,,
272,1.54E+01,2.00E-01,,
273,1.58E+01,2.00E-01,,
274,1.56E+01,2.00E-01,,
275,1.58E+01,2.00E-01,,
276,1.54E+01,2.00E-01,,
277,1.56E+01,2.00E-01,,
278,1.56E+01,2.00E-01,,
279,1.58E+01,2.00E-01,,
280,1.54E+01,2.00E-01,,
