X,CH1,CH2,CH3,Start,Increment
Sequence,Volt,Volt,Volt,-1.19E-04,2.00E-07
125,1.56E+00,1.56E+01,1.60E+01,,
126,1.60E+00,1.57E+01,1.59E+01,,
127,1.56E+00,1.56E+01,1.58E+01,,
128,1.60E+00,1.57E+01,1.58E+01,,
129,1.56E+00,1.56E+01,1.59E+01,,
130,1.60E+00,1.57E+01,1.59E+01,,
131,1.56E+00,1.56E+01,1.60E+01,,
132,1.60E+00,1.56E+01,1.59E+01,,
133,1.56E+00,1.55E+01,1.60E+01,,
134,1.60E+00,1.56E+01,1.60E+01,,
135,1.58E+00,1.55E+01,1.61E+01,,
136,2.06E+00,1.38E+01,1.36E+01,,
137,1.06E+00,1.89E+01,1.87E+01,,
138,1.82E+00,1.77E+01,1.39E+01,,
139,1.46E+00,1.39E+01,1.77E+01,,
140,1.56E+00,1.54E+01,1.59E+01,,
141,1.62E+00,1.59E+01,1.65E+01,,
142,1.60E+00,1.58E+01,1.61E+01,,
143,1.56E+00,1.56E+01,1.63E+01,,
144,1.60E+00,1.57E+01,1.61E+01,,
145,1.56E+00,1.59E+01,1.62E+01,,
146,1.56E+00,1.59E+01,1.63E+01,,
147,1.60E+00,1.57E+01,1.62E+01,,
148,1.60E+00,1.57E+01,1.62E+01,,
149,1.58E+00,1.59E+01,1.63E+01,,
150,1.62E+00,1.57E+01,1.54E+01,,
151,1.56E+00,1.60E+01,1.73E+01,,
152,1.60E+00,1.61E+01,1.65E+01,,
153,1.56E+00,1.59E+01,1.56E+01,,
154,1.60E+00,1.59E+01,1.60E+01,,
155,1.56E+00,1.60E+01,1.62E+01,,
156,1.60E+00,1.59E+01,1.60E+01,,
157,1.56E+00,1.61E+01,1.61E+01,,
158,1.60E+00,1.60E+01,1.61E+01,,
159,1.56E+00,1.61E+01,1.62E+01,,
160,1.60E+00,1.60E+01,1.62E+01,,
161,1.56E+00,1.61E+01,1.60E+01,,
162,1.60E+00,1.61E+01,1.61E+01,,
163,1.56E+00,1.62E+01,1.60E+01,,
164,1.60E+00,1.61E+01,1.60E+01,,
165,1.56E+00,1.63E+01,1.61E+01,,
166,1.60E+00,1.63E+01,1.61E+01,,
167,1.56E+00,1.59E+01,1.58E+01,,
168,1.56E+00,1.65E+01,1.57E+01,,
169,1.64E+00,1.59E+01,1.62E+01,,
170,1.60E+00,1.62E+01,1.58E+01,,
171,1.56E+00,1.60E+01,1.59E+01,,
172,1.60E+00,1.62E+01,1.59E+01,,
173,1.56E+00,1.61E+01,1.59E+01,,
174,1.60E+00,1.61E+01,1.59E+01,,
175,1.58E+00,1.60E+01,1.58E+01,,
176,1.60E+00,1.61E+01,1.60E+01,,
177,1.56E+00,1.60E+01,1.58E+01,,
178,1.60E+00,1.61E+01,1.58E+01,,
179,1.56E+00,1.60E+01,1.60E+01,,
180,1.60E+00,1.60E+01,1.59E+01,,
181,1.56E+00,1.61E+01,1.58E+01,,
182,1.60E+00,1.59E+01,1.59E+01,,
183,1.58E+00,1.60E+01,1.57E+01,,
184,1.60E+00,1.60E+01,1.59E+01,,
185,1.56E+00,1.59E+01,1.57E+01,,
186,1.60E+00,1.59E+01,1.57E+01,,
187,1.56E+00,1.60E+01,1.58E+01,,
188,1.60E+00,1.60E+01,1.58E+01,,
189,1.58E+00,1.58E+01,1.57E+01,,
190,1.60E+00,1.60E+01,1.58E+01,,
191,1.56E+00,1.58E+01,1.57E+01,,
192,1.60E+00,1.59E+01,1.58E+01,,
193,1.56E+00,1.58E+01,1.57E+01,,
194,1.60E+00,1.59E+01,1.57E+01,,
195,1.56E+00,1.58E+01,1.58E+01,,
196,1.60E+00,1.59E+01,1.58E+01,,
197,1.56E+00,1.57E+01,1.56E+01,,
198,1.60E+00,1.57E+01,1.56E+01,,
199,1.56E+00,1.59E+01,1.57E+01,,
200,1.60E+00,1.58E+01,1.57E+01,,
201,1.56E+00,1.57E+01,1.56E+01,,
202,1.84E+00,1.38E+01,1.36E+01,,
203,1.22E+00,1.89E+01,1.86E+01,,
204,1.52E+00,1.60E+01,1.62E+01,,
205,1.64E+00,1.54E+01,1.55E+01,,
206,1.60E+00,1.59E+01,1.57E+01,,
207,1.56E+00,1.56E+01,1.60E+01,,
208,1.60E+00,1.58E+01,1.58E+01,,
209,1.56E+00,1.56E+01,1.59E+01,,
210,1.60E+00,1.57E+01,1.58E+01,,
211,1.56E+00,1.56E+01,1.60E+01,,
212,1.56E+00,1.56E+01,1.59E+01,,
213,1.60E+00,1.57E+01,1.60E+01,,
214,1.60E+00,1.57E+01,1.59E+01,,
215,1.56E+00,1.56E+01,1.60E+01,,
216,1.60E+00,1.55E+01,1.60E+01,,
217,1.56E+00,1.56E+01,1.61E+01,,
218,2.02E+00,1.38E+01,1.36E+01,,
219,1.00E+00,1.89E+01,1.87E+01,,
220,1.80E+00,1.75E+01,1.38E+01,,
221,1.46E+00,1.38E+01,1.76E+01,,
222,1.56E+00,1.54E+01,1.58E+01,,
223,1.60E+00,1.59E+01,1.65E+01,,
224,1.60E+00,1.58E+01,1.63E+01,,
225,1.56E+00,1.57E+01,1.61E+01,,
226,1.60E+00,1.57E+01,1.61E+01,,
227,1.56E+00,1.59E+01,1.62E+01,,
228,1.60E+00,1.58E+01,1.62E+01,,
229,1.56E+00,1.59E+01,1.63E+01,,
230,1.60E+00,1.58E+01,1.62E+01,,
231,1.56E+00,1.59E+01,1.64E+01,,
232,1.56E+00,1.57E+01,1.54E+01,,
233,1.60E+00,1.60E+01,1.73E+01,,
234,1.60E+00,1.61E+01,1.65E+01,,
235,1.56E+00,1.59E+01,1.56E+01,,
236,1.60E+00,1.59E+01,1.60E+01,,
237,1.56E+00,1.60E+01,1.62E+01,,
238,1.60E+00,1.59E+01,1.62E+01,,
239,1.56E+00,1.61E+01,1.60E+01,,
240,1.60E+00,1.60E+01,1.60E+01,,
241,1.56E+00,1.61E+01,1.62E+01,,
242,1.60E+00,1.61E+01,1.62E+01,,
243,1.56E+00,1.62E+01,1.61E+01,,
244,1.60E+00,1.61E+01,1.62E+01,,
245,1.56E+00,1.62E+01,1.60E+01,,
246,1.60E+00,1.62E+01,1.61E+01,,
247,1.56E+00,1.63E+01,1.60E+01,,
248,1.60E+00,1.63E+01,1.61E+01,,
249,1.56E+00,1.59E+01,1.59E+01,,
250,1.56E+00,1.66E+01,1.58E+01,,
251,1.64E+00,1.58E+01,1.62E+01,,
252,1.60E+00,1.62E+01,1.60E+01,,
253,1.56E+00,1.60E+01,1.58E+01,,
254,1.60E+00,1.60E+01,1.59E+01,,
255,1.56E+00,1.62E+01,1.58E+01,,
256,1.60E+00,1.61E+01,1.59E+01,,
257,1.56E+00,1.62E+01,1.60E+01,,
258,1.60E+00,1.60E+01,1.60E+01,,
259,1.58E+00,1.62E+01,1.58E+01,,
260,1.60E+00,1.61E+01,1.58E+01,,
261,1.56E+00,1.60E+01,1.60E+01,,
262,1.58E+00,1.60E+01,1.59E+01,,
263,1.60E+00,1.61E+01,1.58E+01,,
