X,CH1,CH2,CH3,Start,Increment
Sequence,Volt,Volt,Volt,-1.22E-04,2.00E-07
0,1.78E+00,1.85E+01,1.81E+01,,
1,1.72E+00,1.84E+01,1.82E+01,,
2,1.76E+00,1.85E+01,1.81E+01,,
3,1.72E+00,1.84E+01,1.82E+01,,
4,1.76E+00,1.85E+01,1.82E+01,,
5,1.72E+00,1.83E+01,1.81E+01,,
6,1.74E+00,1.84E+01,1.82E+01,,
7,1.78E+00,1.83E+01,1.80E+01,,
8,1.78E+00,1.84E+01,1.80E+01,,
9,1.72E+00,1.83E+01,1.81E+01,,
10,1.76E+00,1.84E+01,1.80E+01,,
11,1.74E+00,1.83E+01,1.81E+01,,
12,1.74E+00,1.83E+01,1.80E+01,,
13,1.78E+00,1.84E+01,1.81E+01,,
14,1.76E+00,1.83E+01,1.81E+01,,
15,1.72E+00,1.84E+01,1.80E+01,,
16,1.16E+00,1.53E+01,2.01E+01,,
17,2.20E+00,2.04E+01,1.50E+01,,
18,1.68E+00,1.89E+01,1.91E+01,,
19,1.82E+00,1.78E+01,1.79E+01,,
20,1.78E+00,1.86E+01,1.86E+01,,
21,1.72E+00,1.82E+01,1.83E+01,,
22,1.76E+00,1.83E+01,1.83E+01,,
23,1.72E+00,1.82E+01,1.85E+01,,
24,1.76E+00,1.83E+01,1.84E+01,,
25,1.74E+00,1.81E+01,1.83E+01,,
26,1.74E+00,1.83E+01,1.84E+01,,
27,1.78E+00,1.81E+01,1.85E+01,,
28,1.76E+00,1.81E+01,1.84E+01,,
29,1.72E+00,1.82E+01,1.85E+01,,
30,1.76E+00,1.82E+01,1.84E+01,,
31,1.72E+00,1.81E+01,1.87E+01,,
32,8.20E-01,2.04E+01,2.01E+01,,
33,2.40E+00,1.53E+01,1.50E+01,,
34,2.12E+00,2.04E+01,2.01E+01,,
35,1.54E+00,1.53E+01,1.56E+01,,
36,1.70E+00,1.80E+01,1.83E+01,,
37,1.78E+00,1.87E+01,1.93E+01,,
38,1.72E+00,1.75E+01,1.61E+01,,
39,1.82E+00,1.89E+01,2.01E+01,,
40,1.76E+00,1.85E+01,1.79E+01,,
41,1.72E+00,1.81E+01,1.87E+01,,
42,1.76E+00,1.82E+01,1.84E+01,,
43,1.72E+00,1.84E+01,1.83E+01,,
44,1.76E+00,1.83E+01,1.84E+01,,
45,1.72E+00,1.85E+01,1.85E+01,,
46,1.78E+00,1.84E+01,1.84E+01,,
47,1.72E+00,1.86E+01,1.86E+01,,
48,1.76E+00,1.85E+01,1.85E+01,,
49,1.72E+00,1.86E+01,1.86E+01,,
50,1.76E+00,1.86E+01,1.86E+01,,
51,1.74E+00,1.87E+01,1.84E+01,,
52,1.76E+00,1.86E+01,1.84E+01,,
53,1.72E+00,1.88E+01,1.85E+01,,
54,1.68E+00,1.73E+01,1.87E+01,,
55,1.82E+00,1.91E+01,1.74E+01,,
56,1.82E+00,1.94E+01,1.90E+01,,
57,1.72E+00,1.82E+01,1.80E+01,,
58,1.78E+00,1.86E+01,1.82E+01,,
59,1.74E+00,1.85E+01,1.81E+01,,
60,1.74E+00,1.85E+01,1.82E+01,,
61,1.78E+00,1.87E+01,1.81E+01,,
62,1.80E+00,1.85E+01,1.82E+01,,
63,1.72E+00,1.87E+01,1.83E+01,,
64,1.76E+00,1.86E+01,1.83E+01,,
65,1.72E+00,1.87E+01,1.84E+01,,
66,1.76E+00,1.87E+01,1.84E+01,,
67,1.72E+00,1.85E+01,1.82E+01,,
68,1.76E+00,1.85E+01,1.83E+01,,
69,1.72E+00,1.86E+01,1.82E+01,,
70,1.76E+00,1.86E+01,1.82E+01,,
71,1.74E+00,1.85E+01,1.83E+01,,
72,1.74E+00,1.86E+01,1.83E+01,,
73,1.78E+00,1.85E+01,1.81E+01,,
74,1.76E+00,1.86E+01,1.82E+01,,
75,1.72E+00,1.85E+01,1.81E+01,,
76,1.76E+00,1.86E+01,1.82E+01,,
77,1.72E+00,1.85E+01,1.82E+01,,
