X,CH1,CH2,CH3,Start,Increment
Sequence,Volt,Volt,Volt,-1.20E-04,2.00E-07
0,1.68E+00,1.65E+01,1.62E+01,,
1,1.76E+00,1.63E+01,1.61E+01,,
2,1.70E+00,1.64E+01,1.61E+01,,
3,1.76E+00,1.63E+01,1.62E+01,,
4,1.70E+00,1.62E+01,1.61E+01,,
5,1.76E+00,1.64E+01,1.61E+01,,
6,1.70E+00,1.63E+01,1.61E+01,,
7,1.76E+00,1.62E+01,1.60E+01,,
8,1.70E+00,1.63E+01,1.60E+01,,
9,1.76E+00,1.62E+01,1.61E+01,,
10,1.98E+00,1.79E+01,1.77E+01,,
11,1.32E+00,1.38E+01,1.26E+01,,
12,1.56E+00,1.89E+01,1.34E+01,,
13,2.00E+00,1.54E+01,1.77E+01,,
14,1.76E+00,1.64E+01,1.64E+01,,
15,1.68E+00,1.59E+01,1.59E+01,,
16,1.70E+00,1.62E+01,1.63E+01,,
17,1.76E+00,1.61E+01,1.61E+01,,
18,1.70E+00,1.62E+01,1.62E+01,,
19,1.76E+00,1.60E+01,1.63E+01,,
20,1.76E+00,1.61E+01,1.62E+01,,
21,1.70E+00,1.60E+01,1.63E+01,,
22,1.70E+00,1.61E+01,1.62E+01,,
23,1.74E+00,1.60E+01,1.63E+01,,
24,1.70E+00,1.60E+01,1.62E+01,,
25,1.76E+00,1.60E+01,1.64E+01,,
26,1.70E+00,1.59E+01,1.63E+01,,
27,1.76E+00,1.60E+01,1.65E+01,,
28,1.02E+00,1.38E+01,1.77E+01,,
29,2.14E+00,1.89E+01,1.26E+01,,
30,1.64E+00,1.71E+01,1.77E+01,,
31,1.78E+00,1.56E+01,1.58E+01,,
32,1.76E+00,1.63E+01,1.69E+01,,
33,1.68E+00,1.59E+01,1.63E+01,,
34,1.70E+00,1.60E+01,1.64E+01,,
35,1.74E+00,1.62E+01,1.66E+01,,
36,1.76E+00,1.61E+01,1.64E+01,,
37,1.70E+00,1.62E+01,1.65E+01,,
38,1.70E+00,1.61E+01,1.65E+01,,
39,1.76E+00,1.62E+01,1.66E+01,,
40,1.70E+00,1.62E+01,1.65E+01,,
41,1.74E+00,1.63E+01,1.66E+01,,
42,1.70E+00,1.62E+01,1.65E+01,,
43,1.74E+00,1.63E+01,1.67E+01,,
44,1.70E+00,1.62E+01,1.65E+01,,
45,1.76E+00,1.64E+01,1.67E+01,,
46,1.76E+00,1.63E+01,1.67E+01,,
47,1.70E+00,1.64E+01,1.66E+01,,
48,1.74E+00,1.63E+01,1.67E+01,,
49,1.70E+00,1.64E+01,1.66E+01,,
50,1.70E+00,1.63E+01,1.66E+01,,
51,1.76E+00,1.64E+01,1.68E+01,,
52,1.76E+00,1.62E+01,1.55E+01,,
53,1.68E+00,1.66E+01,1.77E+01,,
54,1.70E+00,1.66E+01,1.59E+01,,
55,1.76E+00,1.64E+01,1.67E+01,,
56,1.76E+00,1.64E+01,1.66E+01,,
57,1.70E+00,1.65E+01,1.64E+01,,
58,1.70E+00,1.64E+01,1.64E+01,,
59,1.76E+00,1.66E+01,1.65E+01,,
60,1.70E+00,1.65E+01,1.65E+01,,
61,1.76E+00,1.66E+01,1.64E+01,,
62,1.70E+00,1.65E+01,1.65E+01,,
63,1.76E+00,1.66E+01,1.64E+01,,
64,1.74E+00,1.66E+01,1.65E+01,,
