X,CH1,CH2,CH3,Start,Increment
Sequence,Volt,Volt,Volt,-1.20E-04,2.00E-07
0,1.78E+00,1.74E+01,1.74E+01,,
1,1.74E+00,1.76E+01,1.75E+01,,
2,1.74E+00,1.75E+01,1.75E+01,,
3,1.78E+00,1.76E+01,1.76E+01,,
4,1.74E+00,1.76E+01,1.75E+01,,
5,1.78E+00,1.77E+01,1.75E+01,,
6,1.74E+00,1.76E+01,1.75E+01,,
7,1.78E+00,1.77E+01,1.74E+01,,
8,1.78E+00,1.76E+01,1.75E+01,,
9,1.74E+00,1.78E+01,1.74E+01,,
10,1.68E+00,1.67E+01,1.66E+01,,
11,1.84E+00,1.82E+01,1.78E+01,,
12,1.70E+00,1.77E+01,1.76E+01,,
13,1.78E+00,1.74E+01,1.71E+01,,
14,1.74E+00,1.77E+01,1.73E+01,,
15,1.78E+00,1.75E+01,1.71E+01,,
16,1.74E+00,1.75E+01,1.72E+01,,
17,1.78E+00,1.76E+01,1.73E+01,,
18,1.78E+00,1.75E+01,1.72E+01,,
19,1.74E+00,1.77E+01,1.74E+01,,
20,1.78E+00,1.76E+01,1.74E+01,,
21,1.74E+00,1.75E+01,1.73E+01,,
22,1.74E+00,1.76E+01,1.73E+01,,
23,1.78E+00,1.75E+01,1.72E+01,,
24,1.78E+00,1.76E+01,1.73E+01,,
25,1.74E+00,1.74E+01,1.71E+01,,
26,1.74E+00,1.75E+01,1.72E+01,,
27,1.78E+00,1.74E+01,1.73E+01,,
28,1.78E+00,1.75E+01,1.72E+01,,
29,1.74E+00,1.74E+01,1.71E+01,,
30,1.74E+00,1.75E+01,1.71E+01,,
31,1.78E+00,1.74E+01,1.73E+01,,
32,1.74E+00,1.75E+01,1.72E+01,,
33,1.78E+00,1.74E+01,1.71E+01,,
34,1.74E+00,1.75E+01,1.72E+01,,
35,1.78E+00,1.73E+01,1.71E+01,,
36,1.78E+00,1.73E+01,1.72E+01,,
37,1.74E+00,1.74E+01,1.70E+01,,
38,1.78E+00,1.74E+01,1.72E+01,,
39,1.74E+00,1.73E+01,1.70E+01,,
40,1.74E+00,1.74E+01,1.70E+01,,
41,1.78E+00,1.72E+01,1.71E+01,,
42,1.78E+00,1.73E+01,1.70E+01,,
43,1.74E+00,1.72E+01,1.71E+01,,
44,2.06E+00,1.45E+01,1.89E+01,,
45,1.28E+00,1.96E+01,1.38E+01,,
46,1.80E+00,1.77E+01,1.67E+01,,
47,1.62E+00,1.61E+01,1.77E+01,,
48,1.78E+00,1.75E+01,1.75E+01,,
49,1.72E+00,1.71E+01,1.72E+01,,
50,1.74E+00,1.73E+01,1.74E+01,,
51,1.78E+00,1.71E+01,1.72E+01,,
52,1.74E+00,1.72E+01,1.73E+01,,
53,1.78E+00,1.71E+01,1.74E+01,,
54,1.78E+00,1.72E+01,1.73E+01,,
55,1.74E+00,1.71E+01,1.74E+01,,
56,1.74E+00,1.70E+01,1.73E+01,,
57,1.78E+00,1.71E+01,1.74E+01,,
58,1.74E+00,1.71E+01,1.74E+01,,
59,1.78E+00,1.70E+01,1.75E+01,,
60,2.34E+00,1.96E+01,1.38E+01,,
61,9.00E-01,1.45E+01,1.89E+01,,
62,2.30E+00,1.96E+01,1.89E+01,,
63,1.56E+00,1.45E+01,1.49E+01,,
64,1.78E+00,1.65E+01,1.70E+01,,
65,1.68E+00,1.75E+01,1.81E+01,,
66,1.74E+00,1.71E+01,1.78E+01,,
67,1.78E+00,1.73E+01,1.75E+01,,
68,1.74E+00,1.71E+01,1.77E+01,,
69,1.78E+00,1.73E+01,1.75E+01,,
70,1.74E+00,1.72E+01,1.75E+01,,
71,1.78E+00,1.73E+01,1.77E+01,,
72,1.78E+00,1.72E+01,1.76E+01,,
73,1.74E+00,1.74E+01,1.77E+01,,
74,1.74E+00,1.73E+01,1.77E+01,,
